Grid side = 50  (cells=2500)
k=10
time_limit=1800s, n_seeds=5
seed_base=0, seed_mode=by_n

BAD definition:
  tl_bad_count >= 3
  OR p90_capped >= 0.8 * time_limit

STOP rules:
  consecutive_bad_stop=5

STOP reason: Consecutive bad points reached: 5 >= 5
onset_n: 145

n: runs_done, tl_count, tl_rate, median_capped, p90_capped, max_capped, is_bad
10: 5, 0, 0.000, 0.022426, 0.028461, 0.030008, 0
15: 5, 0, 0.000, 0.060737, 0.073088, 0.078946, 0
20: 5, 0, 0.000, 0.077585, 0.095651, 0.102312, 0
25: 5, 0, 0.000, 0.128453, 0.159326, 0.178550, 0
30: 5, 0, 0.000, 0.190911, 0.228392, 0.247532, 0
35: 5, 0, 0.000, 0.205566, 0.227655, 0.240400, 0
40: 5, 0, 0.000, 0.302701, 0.522393, 0.631366, 0
45: 5, 0, 0.000, 0.369006, 1.160041, 1.648317, 0
50: 5, 0, 0.000, 0.415976, 0.957082, 1.090246, 0
55: 5, 0, 0.000, 1.222436, 3.528880, 4.855930, 0
60: 5, 0, 0.000, 1.979736, 9.134755, 13.804092, 0
65: 5, 0, 0.000, 3.699731, 37.112075, 50.766895, 0
70: 5, 0, 0.000, 19.727315, 133.731049, 150.855576, 0
75: 5, 0, 0.000, 84.391687, 700.181563, 1058.814113, 0
80: 5, 0, 0.000, 46.588821, 894.489274, 1373.259631, 0
85: 5, 0, 0.000, 8.366618, 10.049103, 10.813686, 0
90: 5, 0, 0.000, 8.041540, 20.749845, 28.655295, 0
95: 5, 0, 0.000, 16.350611, 29.269405, 37.022612, 0
100: 5, 0, 0.000, 14.572134, 56.435136, 61.581017, 0
105: 5, 0, 0.000, 25.379020, 60.182226, 79.926770, 0
110: 5, 0, 0.000, 32.870954, 138.547450, 198.985196, 0
115: 5, 1, 0.200, 329.260341, 1302.079583, 1800.000000, 0
120: 5, 1, 0.200, 194.072798, 1285.395014, 1800.000000, 0
125: 4, 3, 0.750, 1800.000000, 1800.000000, 1800.000000, 1
130: 3, 3, 1.000, 1800.000000, 1800.000000, 1800.000000, 1
135: 3, 3, 1.000, 1800.000000, 1800.000000, 1800.000000, 1
140: 4, 3, 0.750, 1800.000000, 1800.000000, 1800.000000, 1
145: 4, 3, 0.750, 1800.000000, 1800.000000, 1800.000000, 1
