Grid side = 50  (cells=2500)
k=10
time_limit=1800s, n_seeds=5
seed_base=0, seed_mode=by_n

BAD definition:
  tl_bad_count >= 3
  OR p90_capped >= 0.8 * time_limit

STOP rules:
  consecutive_bad_stop=5

STOP reason: Consecutive bad points reached: 5 >= 5
onset_n: 195

n: runs_done, tl_count, tl_rate, median_capped, p90_capped, max_capped, is_bad
10: 5, 0, 0.000, 0.041169, 0.058533, 0.063521, 0
15: 5, 0, 0.000, 0.063156, 0.079944, 0.081373, 0
20: 5, 0, 0.000, 0.092395, 0.114903, 0.119502, 0
25: 5, 0, 0.000, 0.126297, 0.167051, 0.183514, 0
30: 5, 0, 0.000, 0.266152, 0.790682, 0.952862, 0
35: 5, 0, 0.000, 0.358059, 0.787301, 0.818012, 0
40: 5, 0, 0.000, 0.787769, 1.491501, 1.826370, 0
45: 5, 0, 0.000, 1.027360, 3.086985, 4.215998, 0
50: 5, 0, 0.000, 1.622905, 4.895682, 6.679332, 0
55: 5, 0, 0.000, 3.222800, 7.298610, 9.983718, 0
60: 5, 0, 0.000, 4.266749, 10.519694, 11.154468, 0
65: 5, 0, 0.000, 3.113898, 5.600424, 5.923369, 0
70: 5, 0, 0.000, 4.312811, 8.222676, 9.876332, 0
75: 5, 0, 0.000, 2.126027, 3.026970, 3.270294, 0
80: 5, 0, 0.000, 3.144559, 10.356942, 14.080557, 0
85: 5, 0, 0.000, 10.539518, 12.277331, 12.461766, 0
90: 5, 0, 0.000, 24.426056, 188.398462, 281.778146, 0
95: 5, 0, 0.000, 64.961900, 356.061004, 491.298722, 0
100: 5, 0, 0.000, 181.525190, 349.483336, 397.099738, 0
105: 5, 0, 0.000, 172.823748, 177.154790, 179.057406, 0
110: 5, 0, 0.000, 53.622310, 113.757192, 115.850401, 0
115: 5, 0, 0.000, 46.272889, 100.903892, 119.753819, 0
120: 5, 0, 0.000, 46.633773, 88.896522, 110.534052, 0
125: 5, 0, 0.000, 29.015738, 45.098456, 53.233082, 0
130: 5, 0, 0.000, 42.156354, 47.189322, 49.557655, 0
135: 5, 0, 0.000, 158.305476, 367.393938, 448.812460, 0
140: 3, 3, 1.000, 1800.000000, 1800.000000, 1800.000000, 1
145: 3, 3, 1.000, 1800.000000, 1800.000000, 1800.000000, 1
150: 5, 0, 0.000, 442.149467, 690.427197, 717.713175, 0
155: 5, 0, 0.000, 188.830476, 422.391199, 564.799507, 0
160: 5, 0, 0.000, 80.556964, 232.808892, 295.086198, 0
165: 5, 0, 0.000, 40.953513, 89.016912, 92.176459, 0
170: 5, 0, 0.000, 325.651236, 383.815512, 402.078551, 0
175: 5, 1, 0.200, 767.417524, 1556.848462, 1800.000000, 1
180: 3, 3, 1.000, 1800.000000, 1800.000000, 1800.000000, 1
185: 3, 3, 1.000, 1800.000000, 1800.000000, 1800.000000, 1
190: 3, 3, 1.000, 1800.000000, 1800.000000, 1800.000000, 1
195: 5, 3, 0.600, 1800.000000, 1800.000000, 1800.000000, 1
