grid side,n quadrants,n pairs per quadrant,n agents,mean resource capacity,max cluster size,offset,k,seed,time global,model times global,resolution times global,status global,LB global,UB global,n clusters,n agents per cluster,similarity index,cluster similarity indexes,min cluster similarity index,max mean intercluster similarity,silhouette score,cluster congestion indexes,cluster congestion indexes absolute,cluster congestion ratio max,global congestion absolute,global congestion ratio max,cross congestion absolute,cross congestion rate,cross congestion share,normalized macro components,max eigengap,clustering distortion ratio,absorption rate,forced fragmentation,model times clusters,resolution times clusters,unassigned agents,final unassigned agents,model times repair,resolution times repair,final tolerance,LB heuristic,UB heuristic,status heuristic,time heuristic,gap,speedup
40,2,130,1300,5,520,-1,10,0,10.375196929089723,[0.33269547298550606],[10.042501456104219],OPTIMAL,173.0,173.0,4,"[385, 320, 305, 290]",0.7784955028453926,"[0.720120744893262, 0.6146126063007865, 0.6299391714431942, 0.5828182056530596]",0.5828182056530596,0.0966472279136879,0.0068832816912957,"[0.16835718612763448, 0.32477344861655444, 0.3714400057659643, 0.21572619485101838]","[64.81751665913927, 103.92750355729743, 113.28920175861911, 62.56059650679533]","[1.6864533916502986, 1.9470109806617302, 2.220922356422656, 1.6917734722696867]",522.9060838929732,2.4796800874754483,178.31126541112212,0.1371625118547093,0.341000556129076,0.25,443.4458627297944,0.75,0.4,0.8333333333333334,"[0.18223980907350779, 0.0662818280979991, 0.05891923839226365, 0.14625434204936028]","[0.12753881281241775, 0.06594926817342639, 0.08709148783236742, 0.03544975910335779]","[236, 462, 667, 874]",874.0,"[0.05227533308789134, 0.34501795982941985, 0.24289606790989637, 0.35856596659868956]","[0.0011249659582972527, 0.030420624651014805, 0.030735194217413664, 2.9472058857791126]",3.0,188.0,188.0,OPTIMAL,5.610380104277283,8.670520231213873,1.84928591935862
40,2,130,1300,5,520,-1,10,1,3.628904042765498,[0.3416347038000822],[3.287269338965416],OPTIMAL,173.0,173.0,4,"[415, 350, 340, 195]",0.8350107797228671,"[0.6801552454811477, 0.7406103314215309, 0.780742368946641, 0.6161718892427275]",0.6161718892427275,0.061098131601154,0.00703789069344,"[0.19276340218703564, 0.30399450381964416, 0.32915892131513264, 0.2027574140534569]","[79.99681190761979, 106.39807633687546, 111.9140332471451, 39.5376957404241]","[2.9366400952273812, 2.24701098066173, 2.361030611680763, 1.7306764272548711]",445.279443705984,2.936640095227381,107.4328264739196,0.0826406357491689,0.2412705728778616,0.25,296.9588911427613,0.75,0.4,0.8333333333333334,"[0.2216575206257403, 0.06324635306373239, 0.06095499824732542, 0.04072802001610398]","[0.07740343501791358, 0.25036966474726796, 0.08569127134978771, 0.03622341388836503]","[224, 446, 647, 850]",850.0,"[0.16417007613927126, 0.2272678050212562, 0.3551079258322716, 0.3677978878840804]","[0.0013428367674350739, 0.028086358681321144, 0.06080756615847349, 1.0346192438155413]",3.0,192.0,192.0,OPTIMAL,3.725947509519756,10.982658959537572,0.9739546876314514
40,2,130,1300,5,520,-1,10,2,5.8787200641818345,"[0.36305089574307203, 0.563406272791326]","[0.6401204457506537, 4.312142449896783]",OPTIMAL,150.0,150.0,4,"[400, 360, 350, 190]",0.8225719352676405,"[0.7959036325169037, 0.7512191434528256, 0.6099791791854435, 0.49414328889184966]",0.4941432888918496,0.0557143853001165,0.0071572668572645,"[0.40674629903362136, 0.2215089019787823, 0.23055780270507398, 0.07465759419996927]","[162.69851961344855, 79.74320471236163, 80.6952309467759, 14.184942897994162]","[3.6169606739761386, 2.1683561625992924, 2.0190230828717666, 1.8333832086452642]",456.7044658882479,3.616960673976138,119.3825677176676,0.0918327443982058,0.2614000445237998,0.25,295.32700866334005,1.0,0.4,0.625,"[0.12354844436049461, 0.09865346783772111, 0.2501381221227348, 0.052452759351581335]","[0.46286598965525627, 0.14455149369314313, 0.08629420399665833, 0.02534128539264202]","[198, 427, 647]",647.0,"[0.06596564408391714, 0.4870745660737157, 0.5218925941735506]","[0.0019144820980727673, 0.23290645889937878, 1.0252202339470387]",2.0,196.0,196.0,OPTIMAL,4.280515347607434,30.666666666666668,1.3733673604202137
40,2,130,1300,5,520,-1,10,3,17.841114641167223,[0.22134473221376538],[17.619769908953458],OPTIMAL,169.0,169.0,3,"[475, 430, 395]",0.9054020931361988,"[0.8760213642522372, 0.9033895863463391, 0.5810573496361576]",0.5810573496361576,0.0206229801255966,0.00461701414155,"[0.37946937916087053, 0.6895500693127765, 0.10844223646537135]","[180.2479551014135, 296.5065298044939, 42.834683403821685]","[2.225895802638867, 2.5816920534566856, 1.5374497314297222]",584.1887298524288,2.5816920534566856,64.59956154269969,0.0496919704174613,0.1105799517202386,0.3333333333333333,286.5040806458966,2.0,0.4,0.4166666666666667,"[0.2713598869740963, 0.07328096684068441, 0.07010247418656945]","[1.3413575561717153, 1.1173283280804753, 0.04478305671364069]","[155, 382, 592, 794]",794.0,"[0.03299157414585352, 0.3257058160379529, 0.21860252786427736, 0.3528979872353375]","[0.000867488794028759, 0.02457752823829651, 0.0266755442135036, 1.3456089030951262]",3.0,182.0,182.0,OPTIMAL,5.904823860153556,7.6923076923076925,3.02144739008409
40,2,130,1300,5,520,-1,10,4,19.742981377989054,[0.3422307330183685],[19.400750644970685],OPTIMAL,221.0,221.0,3,"[415, 400, 485]",0.8510046849187488,"[0.8304191992783828, 0.817398532625763, 0.5166820426101143]",0.5166820426101143,0.0357406706371392,0.0047863948714636,"[0.3757137128807308, 0.6502673187766497, 0.15201440299389554]","[155.92119084550328, 260.1069275106599, 73.72698545203934]","[2.3530367151713287, 2.8638441147427693, 1.7211151780228633]",603.6787222761315,2.8638441147427693,113.92361846792892,0.0876335526676376,0.1887156433776539,0.3333333333333333,487.8652440827292,0.6666666666666666,0.4,1.25,"[0.23528988985344768, 0.06369632855057716, 0.09608958521857858]","[0.11238450929522514, 0.836454032920301, 0.049147149082273245]","[165, 402, 605, 826]",826.0,"[0.036877206061035395, 0.22098893485963345, 0.3618732672184706, 0.3814453319646418]","[0.0009271148592233658, 0.03381039435043931, 0.0270672757178545, 3.7102176640182734]",3.0,229.0,229.0,OPTIMAL,6.96937364898622,3.619909502262444,2.832820045580553
40,2,130,1300,5,520,-1,10,5,1.7609514528885484,[0.3836305891163647],[1.3773208637721837],OPTIMAL,128.0,128.0,4,"[390, 355, 335, 220]",0.8166090523085627,"[0.7282754042766552, 0.7304072636505107, 0.6660898164023195, 0.574646003166939]",0.574646003166939,0.0591974462107408,0.0090773494938278,"[0.38022586428123484, 0.2642581728087988, 0.18699791237143407, 0.11474105319000462]","[148.28808706968158, 93.81165134712359, 62.644300644430416, 25.243031701801016]","[2.4872100843038276, 1.8713741115711486, 1.963309784506195, 1.51627010522573]",423.6591381873165,2.487210084303828,93.67206742427982,0.0720554364802152,0.2211024358517261,0.25,340.93825853300814,1.25,0.4,0.5,"[0.09912781603634357, 0.06295580882579088, 0.23013058910146356, 0.05092367809265852]","[0.12183019705116749, 0.1693247640505433, 0.044503928162157536, 0.030818779952824116]","[237, 458, 654]",654.0,"[0.050018155947327614, 0.4326178119517863, 0.44041815400123596]","[0.0013217921368777752, 0.05516279907897115, 0.9922628840431571]",2.0,164.0,164.0,OPTIMAL,3.5258391671814024,28.125,0.4994417979355178
40,2,130,1300,5,520,-1,10,6,9.331667031627148,[0.22853623796254396],[9.103130793664604],OPTIMAL,158.0,158.0,3,"[470, 445, 385]",0.8869911293501154,"[0.8874376153170646, 0.8404245559326093, 0.6059547364526686]",0.6059547364526686,0.027485326496937,0.0033463452150482,"[0.38044217249499507, 0.43783245261377784, 0.2002168173282085]","[178.80782107264767, 194.83544141313115, 77.08347467136028]","[2.0653382136274354, 2.4316277563585755, 2.307568569673162]",522.0851387123133,2.4316277563585755,71.35840155517428,0.0548910781193648,0.1366796261066502,0.3333333333333333,332.04485843806026,1.0,0.4,0.8333333333333334,"[0.11995170405134559, 0.42699016677215695, 0.07751257484778762]","[0.25986744510009885, 0.2009204439818859, 0.04439677903428674]","[172, 401, 600, 801, 981, 1158]",1158.0,"[0.04886505613103509, 0.37768364092335105, 0.2384782270528376, 0.37820093519985676, 0.44554487615823746, 0.38553788186982274]","[0.0010997080244123936, 0.025826643221080303, 0.20031380001455545, 0.46316552022472024, 1.3441606531850994, 1.8028617547824979]",5.0,159.99999999999997,160.0,OPTIMAL,7.651428290177137,1.2658227848101269,1.2195980512039946
40,2,130,1300,5,520,-1,10,7,2.86712917778641,[0.37500551203265786],[2.492123665753752],OPTIMAL,125.0,125.0,4,"[385, 330, 295, 290]",0.8136989742521946,"[0.6683456839921293, 0.7145790853474059, 0.6944119542187379, 0.6664968034710673]",0.6664968034710673,0.0582884624017391,0.0124545205903471,"[0.18434571892912915, 0.24502879188564197, 0.2921786223175291, 0.22389651304632405]","[70.97310178771473, 80.85950132226185, 86.19269358367109, 64.92998878343397]","[1.653784284836581, 2.3397638223258173, 2.2191224984640163, 1.5980073204411533]",391.07110157035714,2.3397638223258173,88.11581609327555,0.0677813969948273,0.2253191701949304,0.25,372.6071337326642,1.0,0.4,0.625,"[0.1030990220606327, 0.061851564794778824, 0.05069238878786564, 0.22381406603381038]","[0.06530535873025656, 0.09605388483032584, 0.06986324489116669, 0.05779965594410896]","[218, 443, 656]",656.0,"[0.055284298956394196, 0.24499241495504975, 0.40280147502198815]","[0.0013299561105668545, 0.028035080060362816, 1.3391684228554368]",2.0,162.0,162.0,OPTIMAL,3.4747411040589213,29.6,0.8251346192201926
40,2,130,1300,5,520,-1,10,8,12.634792362805456,[0.528759737033397],[12.106032625772059],OPTIMAL,128.0,128.0,3,"[480, 375, 445]",0.8690589788434663,"[0.8720644661809291, 0.7405817802487844, 0.6566755161865574]",0.6566755161865574,0.027496753244087,0.0056154263827628,"[0.41687178083904375, 0.16988670173535794, 0.19727596238290387]","[200.098454802741, 63.70751315075923, 87.78780326039222]","[2.686453391650299, 1.7934165460091633, 1.9374497314297219]",435.2109359964774,2.686453391650299,83.61716478258501,0.0643208959866038,0.1921302013951912,0.3333333333333333,349.19815117776136,1.0,0.4,0.8333333333333334,"[0.10553831327706575, 0.06434051925316453, 0.08501273626461625]","[0.8268731003627181, 0.1286061592400074, 0.06885607400909066]","[183, 403]",403.0,"[0.04051029495894909, 0.21811027405783534]","[0.0010195537470281124, 0.1660906197503209]",1.0,190.0,190.0,OPTIMAL,2.4342068121768534,48.4375,5.1905172147252605
40,2,130,1300,5,520,-1,10,9,2.7380429399199784,[0.27908675000071526],[2.458956189919263],OPTIMAL,124.0,124.0,4,"[370, 345, 315, 270]",0.8328689575358017,"[0.7059666007799994, 0.6978889703767481, 0.7604683080560917, 0.6904373656684105]",0.6904373656684105,0.0449294871530965,0.0047937697886054,"[0.32823716218346505, 0.20980701441367416, 0.22548154231912568, 0.20109600792765467]","[121.44775000788206, 72.38341997271759, 71.02668583052458, 54.29592214046676]","[2.025895802638867, 1.8253884003224279, 2.0980073204411536, 1.7426785366203625]",400.85481547116194,2.0980073204411536,81.70103751957095,0.0628469519381315,0.2038170289243907,0.25,266.0858343966989,0.75,0.4,0.8333333333333334,"[0.2556571080349386, 0.06464064633473754, 0.0582690080627799, 0.04666676139459014]","[0.12186382431536913, 0.18627611827105284, 0.2053784946911037, 0.043315050192177296]","[198, 428, 637, 845, 1039, 1234]",1234.0,"[0.056287094950675964, 0.3837567321024835, 0.4157510786317289, 0.420841951854527, 0.29058329528197646, 0.4395451368764043]","[0.0013456610031425953, 0.0498713799752295, 0.18759295204654336, 0.6332280328497291, 1.0480169993825257, 2.8503063917160034]",5.0,125.0,125.0,OPTIMAL,8.547110648360103,0.8064516129032258,0.3203471971484673
