Grid side = 20  (cells=400)
k=10
time_limit=1800s, n_seeds=5
seed_base=0, seed_mode=by_n

BAD definition:
  tl_bad_count >= 3
  OR p90_capped >= 0.8 * time_limit

STOP rules:
  consecutive_bad_stop=5

STOP reason: Consecutive bad points reached: 5 >= 5
onset_n: 200

n: runs_done, tl_count, tl_rate, median_capped, p90_capped, max_capped, is_bad
50: 5, 0, 0.000, 0.082340, 0.097696, 0.101860, 0
55: 5, 0, 0.000, 0.089377, 0.161507, 0.166126, 0
60: 5, 0, 0.000, 0.104846, 0.179829, 0.185658, 0
65: 5, 0, 0.000, 0.123593, 0.211470, 0.224505, 0
70: 5, 0, 0.000, 0.172240, 0.200474, 0.205106, 0
75: 5, 0, 0.000, 0.178074, 0.223382, 0.223574, 0
80: 5, 0, 0.000, 0.219948, 0.245936, 0.263137, 0
85: 5, 0, 0.000, 0.249013, 0.346266, 0.362460, 0
90: 5, 0, 0.000, 0.251680, 0.279211, 0.290384, 0
95: 5, 0, 0.000, 0.335573, 0.758500, 1.035862, 0
100: 5, 0, 0.000, 0.472518, 0.792263, 0.837486, 0
105: 5, 0, 0.000, 0.399407, 1.282366, 1.846900, 0
110: 5, 0, 0.000, 1.268658, 1.470187, 1.479915, 0
115: 5, 0, 0.000, 1.825960, 3.145624, 3.678927, 0
120: 5, 0, 0.000, 1.458821, 2.667956, 2.668115, 0
125: 5, 0, 0.000, 2.098539, 3.258648, 3.780256, 0
130: 5, 0, 0.000, 2.028385, 5.692133, 7.721626, 0
135: 5, 0, 0.000, 4.859247, 10.044639, 10.578026, 0
140: 5, 0, 0.000, 5.646668, 516.383688, 850.213307, 0
145: 5, 0, 0.000, 9.790077, 24.790189, 34.525433, 0
150: 5, 0, 0.000, 3.683890, 126.758029, 173.730321, 0
155: 5, 0, 0.000, 7.107528, 18.713481, 21.759952, 0
160: 5, 0, 0.000, 24.368936, 249.318793, 384.237525, 0
165: 5, 0, 0.000, 145.707988, 1074.140288, 1618.916199, 0
170: 5, 0, 0.000, 171.586010, 247.139019, 286.562735, 0
175: 5, 1, 0.200, 161.778659, 1284.003103, 1800.000000, 0
180: 5, 2, 0.400, 290.883615, 1800.000000, 1800.000000, 1
185: 5, 2, 0.400, 977.517042, 1800.000000, 1800.000000, 1
190: 3, 3, 1.000, 1800.000000, 1800.000000, 1800.000000, 1
195: 3, 3, 1.000, 1800.000000, 1800.000000, 1800.000000, 1
200: 3, 3, 1.000, 1800.000000, 1800.000000, 1800.000000, 1
