grid side,n quadrants,n pairs per quadrant,n agents,mean resource capacity,max cluster size,offset,k,seed,time global,model times global,resolution times global,status global,LB global,UB global,n clusters,n agents per cluster,similarity index,cluster similarity indexes,min cluster similarity index,max mean intercluster similarity,silhouette score,cluster congestion indexes,cluster congestion indexes absolute,cluster congestion ratio max,global congestion absolute,global congestion ratio max,cross congestion absolute,cross congestion rate,cross congestion share,model times clusters,resolution times clusters,unassigned agents,final unassigned agents,model times repair,resolution times repair,final tolerance,LB heuristic,UB heuristic,time heuristic,gap,speedup
40,2,100,1000,5,500,-2,10,0,2.101005901116878,[0.28118834597989917],[1.8198175551369786],OPTIMAL,92.0,92.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.007435423531844927,"[0.3877057022379998, 0.2845696063039121]","[193.85285111899992, 142.28480315195605]","[2.2143418738480127, 1.8864533916502988]",336.1376542709563,2.2143418738480127,3.410605131648481e-13,3.410605131648481e-16,1.0146453657611023e-15,"[0.08652568981051445, 0.19289800385013223]","[1.4818479297682643, 0.8661563126370311]",,,,,,92.0,92.0,3.114119221456349,0.0,0.674670990962999
40,2,100,1000,5,500,-2,10,1,1.531280629336834,[0.4944671532139182],[1.0368134761229157],OPTIMAL,113.0,113.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.006076685031695348,"[0.28204515506552236, 0.22254164111259503]","[141.02257753276118, 111.27082055629751]","[2.045132795850358, 1.9470109806617302]",252.29339808905874,2.045132795850358,5.684341886080802e-14,5.684341886080802e-17,2.253068026794628e-16,"[0.33507956517860293, 0.19590596482157707]","[0.49233188293874264, 2.1968799931928515]",,,,,,113.0,113.0,4.204928389750421,0.0,0.3641633072918327
40,2,100,1000,5,500,-2,10,2,1.8174850260838866,[0.6943971333093941],[1.1230878927744925],OPTIMAL,116.0,116.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.00612847661737655,"[0.3623150046072015, 0.2105520028487864]","[181.15750230360075, 105.2760014243932]","[2.5239031230800206, 2.2261450929759574]",286.4335037279939,2.5239031230800206,0.0,0.0,0.0,"[0.10637172590941191, 0.20952810114249587]","[0.8005604250356555, 0.4299343852326274]",,,,,,116.0,116.0,1.9294017544016242,0.0,0.941994077665568
40,2,100,1000,5,500,-2,10,3,0.6650837077759206,[0.3140364126302302],[0.35104729514569044],OPTIMAL,62.0,62.0,2,"[500, 500]",0.9999999999999998,"[1.0, 1.0]",1.0,0.0,0.006850498973100308,"[0.1479749500938069, 0.18521808927681627]","[73.98747504690346, 92.60904463840814]","[1.688321380914926, 1.9040203421589061]",166.59651968531153,1.9040203421589061,0.0,0.0,0.0,"[0.10983389709144831, 0.20448027784004807]","[0.13241927791386843, 0.11970429075881839]",,,,,,62.0,62.0,0.9225612664595246,0.0,0.7209100706430966
40,2,100,1000,5,500,-2,10,4,1.4030917398631573,[0.30773243214935064],[1.0953593077138066],OPTIMAL,99.0,99.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.004796376315053146,"[0.2713838231039019, 0.2805694526157583]","[135.69191155195097, 140.28472630787914]","[2.5239031230800206, 2.163594824405679]",275.9766378598302,2.5239031230800206,5.684341886080802e-14,5.684341886080802e-17,2.0597185073858708e-16,"[0.21841874672099948, 0.09468275913968682]","[0.5753277507610619, 0.2611478790640831]",,,,,,99.0,99.0,1.6426899754442275,0.0,0.8541427541637756
40,2,100,1000,5,500,-2,10,5,2.1101935477927327,[0.2884520906955004],[1.8217414570972323],OPTIMAL,75.0,75.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.00830166749531352,"[0.27528978163181, 0.20461315174624597]","[137.644890815905, 102.30657587312298]","[1.9768921424182906, 2.192489289594012]",239.95146668902785,2.192489289594012,0.0,0.0,0.0,"[0.3318392098881304, 0.167582540307194]","[1.8916935450397432, 0.22247373731806874]",,,,,,75.0,75.0,3.159535776823759,0.0,0.6678808840436943
40,2,100,1000,5,500,-2,10,6,1.1336571401916444,[0.30930963810533285],[0.8243475020863116],OPTIMAL,101.0,101.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0025697048327954003,"[0.3406177397940963, 0.29989995696632465]","[170.30886989704817, 149.94997848316234]","[2.109561249232008, 2.4893520136997243]",320.25884838021045,2.4893520136997243,0.0,0.0,0.0,"[0.21575734298676252, 0.0956832212395966]","[0.5448082592338324, 0.23975569987669587]",,,,,,101.0,101.0,1.466170727275312,0.0,0.7732095035742523
40,2,100,1000,5,500,-2,10,7,1.6215922026894987,[0.5419194269925356],[1.079672775696963],OPTIMAL,79.0,79.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.008887000430727756,"[0.20386429935162811, 0.16313424352278683]","[101.93214967581406, 81.56712176139341]","[1.649347746455802, 1.7258958026388673]",183.49927143720748,1.7258958026388673,0.0,0.0,0.0,"[0.1907756431028247, 0.3654302693903446]","[0.5771608608774841, 0.3678259430453181]",,,,,,79.0,79.0,2.121583883650601,0.0,0.7643309393448217
40,2,100,1000,5,500,-2,10,8,0.8861562050879002,[0.2951629562303424],[0.5909932488575578],OPTIMAL,117.0,117.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.004813054595226127,"[0.3980209272182377, 0.2587271339870577]","[199.01046360911883, 129.36356699352885]","[2.4230637162286124, 2.365338213627436]",328.37403060264774,2.4230637162286124,5.684341886080802e-14,5.684341886080802e-17,1.7310570740418525e-16,"[0.20964896213263273, 0.09240962192416191]","[0.31975746620446444, 0.15581803023815155]",,,,,,117.0,117.0,1.2793993898667395,0.0,0.6926345378202822
40,2,100,1000,5,500,-2,10,9,1.284975496120751,[0.31066530803218484],[0.9743101880885661],OPTIMAL,106.0,106.0,2,"[500, 500]",0.9999999999999999,"[1.0, 1.0]",1.0,0.0,0.0040337680396180945,"[0.21128492587923772, 0.2899618765542114]","[105.64246293961887, 144.9809382771057]","[1.9470109806617302, 2.548741918541291]",250.62340121672466,2.548741918541291,8.526512829121202e-14,8.526512829121202e-17,3.4021215846935e-16,"[0.10453725093975663, 0.21673224167898297]","[0.5886317011900246, 0.4740915261209011]",,,,,,106.0,106.0,1.7530428213067353,0.0,0.7329972094822633
