grid side,n quadrants,n pairs per quadrant,n agents,mean resource capacity,max cluster size,offset,k,seed,time global,model times global,resolution times global,status global,LB global,UB global,n clusters,n agents per cluster,similarity index,cluster similarity indexes,min cluster similarity index,max mean intercluster similarity,silhouette score,cluster congestion indexes,cluster congestion indexes absolute,cluster congestion ratio max,global congestion absolute,global congestion ratio max,cross congestion absolute,cross congestion rate,cross congestion share,model times clusters,resolution times clusters,unassigned agents,final unassigned agents,model times repair,resolution times repair,final tolerance,LB heuristic,UB heuristic,time heuristic,gap,speedup
40,2,100,1000,5,500,-2,10,0,1.8291976449545475,[0.3757798688020557],[1.4534177761524916],OPTIMAL,92.0,92.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0087030974065244,"[0.26090719696969694, 0.20679213184476336]","[130.45359848484847, 103.39606592238168]","[1.8, 1.75]",233.84966440723016,1.8,2.8421709430404014e-14,2.842170943040401e-17,1.2153838023384275e-16,"[0.08159794704988599, 0.18402201985009015]","[1.5700507499277592, 0.5887505980208516]",,,,,,92.0,92.0,2.872593321604654,0.0,0.6367757075800561
40,2,100,1000,5,500,-2,10,1,0.90450909989886,[0.2688873328734189],[0.6356217670254409],OPTIMAL,113.0,113.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0088287226387733,"[0.09480923536462639, 0.16945410935813407]","[47.404617682313194, 84.72705467906704]","[1.7103864734299516, 2.171212121212121]",132.13167236138025,2.171212121212121,0.0,0.0,0.0,"[0.18881027307361364, 0.08831821195781231]","[0.5351392519660294, 0.30973390000872314]",,,,,,113.0,113.0,1.4084163890220225,0.0,0.6422171077737414
40,2,100,1000,5,500,-2,10,2,0.8503380613401532,[0.34184760320931673],[0.5084904581308365],OPTIMAL,116.0,116.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0089083506903271,"[0.2421712801087802, 0.11041910804623656]","[121.0856400543901, 55.20955402311828]","[1.8333333333333333, 1.7727272727272727]",176.29519407750834,1.8333333333333333,0.0,0.0,0.0,"[0.0913612071890384, 0.18505258206278086]","[0.7073605940677226, 0.15546853421255946]",,,,,,116.0,116.0,1.4275806795340031,0.0,0.5956497405230534
40,2,100,1000,5,500,-2,10,3,0.501385869923979,[0.2731556750368327],[0.22823019488714635],OPTIMAL,62.0,62.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0114198782694283,"[0.08523304269260153, 0.05574403974116249]","[42.616521346300765, 27.872019870581244]","[1.483116883116883, 1.5088235294117647]",70.48854121688204,1.508823529411765,2.8421709430404014e-14,2.842170943040401e-17,4.0321035077959286e-16,"[0.08327767997980118, 0.1947267611976713]","[0.11677928594872355, 0.11380619392730296]",,,,,,62.0,62.0,0.7987357929814607,0.0,0.6277243042438898
40,2,100,1000,5,500,-2,10,4,1.085135926026851,[0.25885947700589895],[0.826276449020952],OPTIMAL,99.0,99.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0060701707030143,"[0.18638276592688366, 0.15335455665746592]","[93.19138296344182, 76.67727832873295]","[2.75, 1.75]",169.86866129217475,2.75,0.0,0.0,0.0,"[0.1811240050010383, 0.0857120230793953]","[0.2922508779447526, 0.15211239806376398]",,,,,,99.0,99.0,0.9989397882018238,0.0,1.0862876209788257
40,2,100,1000,5,500,-2,10,5,1.5224957300815731,[0.339290474075824],[1.183205256005749],OPTIMAL,75.0,75.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0120680790399703,"[0.1403227101845523, 0.1675489009250199]","[70.16135509227615, 83.77445046250995]","[1.78125, 1.8]",153.935805554786,1.8,0.0,0.0,0.0,"[0.08054035785607994, 0.1954316720366478]","[0.12209005793556571, 1.139102116925642]",,,,,,75.0,75.0,1.8285839236341417,0.0,0.8326091629722706
40,2,100,1000,5,500,-2,10,6,0.829447170952335,[0.27479835506528616],[0.5546488158870488],OPTIMAL,101.0,101.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0034699758649434,"[0.18980366161616155, 0.20217009822430299]","[94.90183080808077, 101.0850491121515]","[1.95, 2.1136363636363633]",195.9868799202323,2.113636363636364,2.8421709430404014e-14,2.842170943040401e-17,1.450184289980369e-16,"[0.08740118588320911, 0.1924077000003308]","[0.4750782158225775, 0.17811688710935414]",,,,,,101.0,101.0,1.220950085669756,0.0,0.6793456838961105
40,2,100,1000,5,500,-2,10,7,0.8498689262196422,[0.26568612502887845],[0.5841828011907637],OPTIMAL,79.0,79.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0124998456166111,"[0.09355726690189607, 0.13122844296768277]","[46.778633450948035, 65.61422148384139]","[1.559090909090909, 1.7249554367201427]",112.39285493478944,1.7249554367201427,0.0,0.0,0.0,"[0.1830345680937171, 0.08322550402954221]","[0.21255914098583162, 0.28416288387961686]",,,,,,79.0,79.0,1.052493357099593,0.0,0.8074815109158194
40,2,100,1000,5,500,-2,10,8,0.7677461260464042,[0.34882557997480035],[0.4189205460716039],OPTIMAL,117.0,117.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0069583514661118,"[0.14477350427350424, 0.2706764228418639]","[72.38675213675212, 135.33821142093194]","[2.1, 2.203409090909091]",207.7249635576841,2.203409090909091,5.684341886080804e-14,5.684341886080802e-17,2.736475091244835e-16,"[0.08310225210152566, 0.19573072018101811]","[0.11640285118483007, 0.30783365201205015]",,,,,,117.0,117.0,0.9965110416524112,0.0,0.7704341386657696
40,2,100,1000,5,500,-2,10,9,0.930265514878556,[0.27251180284656584],[0.6577537120319903],OPTIMAL,106.0,106.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0051753301684539,"[0.10432429558745349, 0.18613854323780796]","[52.162147793726746, 93.06927161890398]","[1.75, 2.0]",145.23141941263066,2.0,0.0,0.0,0.0,"[0.0904559011105448, 0.18784140888601542]","[0.42813971685245633, 0.17658504797145724]",,,,,,106.0,106.0,1.1728683495894074,0.0,0.7931542489011826
